brand,message_text,true_intent,should_escalate,escalation_reason,ideal_reply_notes,sampling_note
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,Speaker won't pair with the app anymore since the update,device_connectivity,False,,Should suggest re-pairing/firmware update.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,How do I cancel before my trial ends so I'm not charged?,cancellation,False,,Should explain cancel path and access-until-period-end.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,How do I cancel before my trial ends so I'm not charged?,cancellation,False,,Should explain cancel path and access-until-period-end.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,Speaker won't pair with the app anymore since the update,device_connectivity,False,,Should suggest re-pairing/firmware update.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,Speaker won't pair with the app anymore since the update,device_connectivity,False,,Should suggest re-pairing/firmware update.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"I can't log into my account, password reset link doesn't work",account_access,False,,Should mention password reset flow and app cache.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,Speaker won't pair with the app anymore since the update,device_connectivity,False,,Should suggest re-pairing/firmware update.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"I can't log into my account, password reset link doesn't work",account_access,False,,Should mention password reset flow and app cache.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,Speaker won't pair with the app anymore since the update,device_connectivity,False,,Should suggest re-pairing/firmware update.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,Speaker won't pair with the app anymore since the update,device_connectivity,False,,Should suggest re-pairing/firmware update.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"I can't log into my account, password reset link doesn't work",account_access,False,,Should mention password reset flow and app cache.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"I can't log into my account, password reset link doesn't work",account_access,False,,Should mention password reset flow and app cache.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,How do I cancel before my trial ends so I'm not charged?,cancellation,False,,Should explain cancel path and access-until-period-end.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,Speaker won't pair with the app anymore since the update,device_connectivity,False,,Should suggest re-pairing/firmware update.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,How do I cancel before my trial ends so I'm not charged?,cancellation,False,,Should explain cancel path and access-until-period-end.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,Speaker won't pair with the app anymore since the update,device_connectivity,False,,Should suggest re-pairing/firmware update.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,Speaker won't pair with the app anymore since the update,device_connectivity,False,,Should suggest re-pairing/firmware update.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,How do I cancel before my trial ends so I'm not charged?,cancellation,False,,Should explain cancel path and access-until-period-end.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,How do I cancel before my trial ends so I'm not charged?,cancellation,False,,Should explain cancel path and access-until-period-end.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,How do I cancel before my trial ends so I'm not charged?,cancellation,False,,Should explain cancel path and access-until-period-end.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"I can't log into my account, password reset link doesn't work",account_access,False,,Should mention password reset flow and app cache.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,Speaker won't pair with the app anymore since the update,device_connectivity,False,,Should suggest re-pairing/firmware update.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,Speaker won't pair with the app anymore since the update,device_connectivity,False,,Should suggest re-pairing/firmware update.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"I can't log into my account, password reset link doesn't work",account_access,False,,Should mention password reset flow and app cache.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"I can't log into my account, password reset link doesn't work",account_access,False,,Should mention password reset flow and app cache.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"I can't log into my account, password reset link doesn't work",account_access,False,,Should mention password reset flow and app cache.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,How do I cancel before my trial ends so I'm not charged?,cancellation,False,,Should explain cancel path and access-until-period-end.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,How do I cancel before my trial ends so I'm not charged?,cancellation,False,,Should explain cancel path and access-until-period-end.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"I can't log into my account, password reset link doesn't work",account_access,False,,Should mention password reset flow and app cache.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"I can't log into my account, password reset link doesn't work",account_access,False,,Should mention password reset flow and app cache.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"I can't log into my account, password reset link doesn't work",account_access,False,,Should mention password reset flow and app cache.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,How do I cancel before my trial ends so I'm not charged?,cancellation,False,,Should explain cancel path and access-until-period-end.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"This is a scam, I've been charged $120 and no refund, I'm getting a lawyer",billing_refund,True,financial/negative-sentiment rule,Must escalate: legal threat + large amount.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,Speaker won't pair with the app anymore since the update,device_connectivity,False,,Should suggest re-pairing/firmware update.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,You should really let us sort playlists by date added,feature_request,False,,Should acknowledge and say it's passed to product team.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Nothing works, this app is the worst, I want my money back now",billing_refund,True,financial/negative-sentiment rule,Must escalate: strong negative sentiment.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,Speaker won't pair with the app anymore since the update,device_connectivity,False,,Should suggest re-pairing/firmware update.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,App crashes every single time I open a podcast episode,playback_bug,False,,Should suggest update + restart.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
SpotifyCares,"Charged twice for premium this month, please refund me",billing_refund,False,,Should ask for account email and mention refund timeline.,"stratified sample across 7 intents, oversampling escalation-worthy cases"
